Year,Stage,Match,Team,Skip,1,2,3,4,5,6,7,8,9,10,11,Score,Ends,Outcome,Margin
2017,Round robin,Draw 10,ONT,Homan,1,0,2,0,2,0,0,2,0,,,7,9,W,3
2017,Round robin,Draw 10,SSK,Barker,0,1,0,0,0,2,0,0,1,,,4,9,L,-3
2017,Round robin,Draw 10,QUE,Belisle,0,0,2,0,2,0,4,4,,,,12,8,W,6
2017,Round robin,Draw 10,NS,Mattattall,1,1,0,2,0,2,0,0,,,,6,8,L,-6
2017,Round robin,Draw 10,NON,McCarville,1,0,4,1,1,0,0,1,,,,8,8,W,5
2017,Round robin,Draw 10,BC,Mallett,0,1,0,0,0,1,1,0,,,,3,8,L,-5
2017,Round robin,Draw 10,MAN,Englot,1,0,1,0,0,0,1,2,2,0,,7,10,L,-1
2017,Round robin,Draw 10,CAN,Carey,0,2,0,1,1,2,0,0,0,2,,8,10,W,1
2017,Round robin,Draw 11,ALTA,Kleibrink,1,0,0,3,3,0,4,0,,,,11,8,W,6
2017,Round robin,Draw 11,BC,Mallett,0,1,0,0,0,2,0,2,,,,5,8,L,-6
2017,Round robin,Draw 11,PEI,MacPhee,0,0,2,0,0,0,0,0,,,,2,8,L,-8
2017,Round robin,Draw 11,MAN,Englot,0,1,0,1,4,1,1,2,,,,10,8,W,8
2017,Round robin,Draw 11,NL,Curtis,1,0,0,0,0,1,0,0,1,,,3,9,L,-3
2017,Round robin,Draw 11,ONT,Homan,0,2,0,0,1,0,1,2,0,,,6,9,W,3
2017,Round robin,Draw 11,QUE,Belisle,1,0,0,0,2,2,0,2,,,,7,8,W,5
2017,Round robin,Draw 11,NWT,Galusha,0,0,1,0,0,0,1,0,,,,2,8,L,-5
2017,Round robin,Draw 12,QUE,Belisle,0,0,1,0,1,0,1,0,2,0,,5,10,L,-1
2017,Round robin,Draw 12,CAN,Carey,0,2,0,1,0,1,0,2,0,0,,6,10,W,1
2017,Round robin,Draw 12,BC,Mallett,0,1,0,0,1,0,3,1,0,0,1,7,11,W,1
2017,Round robin,Draw 12,SSK,Barker,2,0,0,1,0,1,0,0,1,1,0,6,11,L,-1
